#Year	    #EU 28 %
1995	1.58731280599641
1996	1.58445832554214
1997	1.58884256345267
1998	1.59957661563274
1999	1.65174325082518
2000	1.67148778503797
2001	1.69198620663906
2002	1.69652720901532
2003	1.68585718821651
2004	1.66055815581722
2005	1.66240633144168
2006	1.68454293488094
2007	1.6934792207607
2008	1.7599442375847
2009	1.83804694089372
2010	1.83676772090133
2011	1.87786402043414
2012	1.91766339415847
2013	1.92718959892249
2014	1.95088680113568
2015	1.95810619503124
